Date	Returns
1987/10/16	-15.38
1987/10/19	-57.86
1987/10/21	21.55
1987/10/26	-20.55
1988/1/8	-17.67
1989/10/13	-21.74
1996/3/8	-20.15
1996/7/5	-14.96
1996/7/15	-16.39
1997/3/27	-16.62
1997/3/31	-16.76
1997/4/11	-20.69
1997/4/29	21.09
1997/5/5	17.32
1997/6/23	-20.08
1997/6/24	17.72
1997/7/18	-16.31
1997/7/22	21.04
1997/8/8	-17.65
1997/8/15	-23.96
1997/9/2	28.11
1997/9/16	25.87
1997/10/21	16.67
1997/10/23	-17.8
1997/10/27	-64.65
1997/10/28	44.86
1997/10/30	-15.48
1997/11/3	24.37
1997/11/12	-17.82
1997/11/17	17.85
1997/11/24	-16.42
1997/12/1	19.37
1997/12/11	-14.85
1997/12/29	16.89
1997/12/30	17.49
1998/1/9	-28.36
1998/1/20	17.09
1998/2/2	20.99
1998/3/6	20.64
1998/4/27	-21.36
1998/4/30	17.13
1998/5/26	-16.45
1998/6/5	19.03
1998/6/11	-17.7
1998/6/15	-21.83
1998/6/17	19.52
1998/6/23	16.28
1998/7/21	-19.03
1998/7/23	-24.33
1998/7/28	-17.03
1998/7/30	17.74
1998/7/31	-22.28
1998/8/4	-40.32
1998/8/12	15.24
1998/8/17	20.92
1998/8/18	17.53
1998/8/27	-41.6
1998/8/28	-15.45
1998/8/31	-69.86
1998/9/1	36.98
1998/9/8	49.57
1998/9/9	-17.26
1998/9/10	-26.01
1998/9/11	28.87
1998/9/14	20.66
1998/9/17	-26.61
1998/9/23	36.46
1998/9/24	-23.37
1998/9/30	-32.01
1998/10/1	-30.62
1998/10/2	16.21
1998/10/9	24.95
1998/10/15	41.96
1998/10/29	17.84
1998/11/5	15.18
1998/11/23	24.66
1998/11/30	-28.7
1998/12/3	-21.11
1998/12/4	26.6
1998/12/10	-18.47
1998/12/14	-25.26
1998/12/15	21.63
1998/12/17	18.04
1998/12/23	24.97
1998/12/29	16.32
1999/1/5	16.68
1999/1/6	27.56
1999/1/12	-24.37
1999/1/14	-22.21
1999/1/15	31.07
1999/1/21	-21.46
1999/1/26	18.33
1999/1/28	22.2
1999/2/4	-23.58
1999/2/9	-27.63
1999/2/11	30.49
1999/2/12	-23.91
1999/2/17	-17.84
1999/2/22	32.92
1999/2/24	-17.77
1999/3/4	18.94
1999/3/5	28.83
1999/3/18	18.73
1999/3/19	-17.26
1999/3/23	-34.87
1999/3/25	21.4
1999/3/29	27.37
1999/4/5	27.4
1999/4/8	17.09
1999/4/14	-21.38
1999/4/19	-29.52
1999/4/20	16.69
1999/4/21	29.95
1999/4/22	22.7
1999/5/3	19.45
1999/5/4	-22.63
1999/5/5	15.31
1999/5/6	-15.26
1999/5/11	15.31
1999/5/14	-29.76
1999/5/24	-23.64
1999/5/25	-22.25
1999/5/26	20.36
1999/5/27	-23.35
1999/5/28	20.43
1999/6/4	28.21
1999/6/8	-17.19
1999/6/10	-15.82
1999/6/16	29.25
1999/6/24	-17.28
1999/6/28	16.04
1999/6/29	20.1
1999/6/30	21.26
1999/7/20	-30.55
1999/7/22	-18.32
1999/7/27	15.08
1999/7/29	-24.37
1999/8/4	-16.85
1999/8/10	-16.37
1999/8/11	20.5
1999/8/13	29.52
1999/8/23	23.61
1999/8/25	18.29
1999/8/26	-19.78
1999/8/30	-24.25
1999/9/3	38.13
1999/9/15	-18.32
1999/9/17	16.94
1999/9/21	-27.95
1999/9/23	-30.1
1999/10/4	21.79
1999/10/6	24.05
1999/10/8	18.38
1999/10/12	-22.17
1999/10/13	-27.49
1999/10/15	-36.01
1999/10/20	28.11
1999/10/22	18.04
1999/10/28	45.73
1999/10/29	20.49
1999/11/16	25.68
1999/11/23	-16.3
1999/11/30	-18.92
1999/12/3	24.26
1999/12/21	15.34
1999/12/23	22.21
2000/1/4	-55.8
2000/1/7	38.02
2000/1/10	16.13
2000/1/11	-19.04
2000/1/13	17.43
2000/1/14	15.47
2000/1/24	-39.83
2000/1/28	-38.4
2000/1/31	34.3
2000/2/1	14.82
2000/2/3	15.85
2000/2/8	17.48
2000/2/9	-30.01
2000/2/11	-29.71
2000/2/18	-42.17
2000/2/25	-20.07
2000/2/29	18.37
2000/3/3	27.41
2000/3/6	-17.89
2000/3/7	-35.66
2000/3/9	34.99
2000/3/14	-24.47
2000/3/15	32.99
2000/3/16	66.33
2000/3/21	37.24
2000/3/23	26.71
2000/3/28	-16.13
2000/3/30	-20.6
2000/4/7	15.01
2000/4/12	-33.42
2000/4/13	-26.66
2000/4/14	-83.95
2000/4/17	44.88
2000/4/18	40.17
2000/4/25	47.58
2000/4/26	-16.45
2000/5/1	15.82
2000/5/2	-21.96
2000/5/3	-31.19
2000/5/5	23.06
2000/5/10	-29.09
2000/5/11	24.76
2000/5/15	31.4
2000/5/17	-18.24
2000/5/19	-30.26
2000/5/23	-26.86
2000/5/24	25.19
2000/5/25	-17.53
2000/5/30	44.43
2000/6/1	28.21
2000/6/2	28.45
2000/6/13	23.44
2000/6/19	21.54
2000/6/22	-26.95
2000/7/3	14.94
2000/7/5	-23.31
2000/7/7	22.23
2000/7/18	-16.75
2000/7/21	-15.38
2000/7/24	-15.9
2000/7/26	-22.05
2000/7/28	-29.73
2000/8/7	16.39
2000/8/14	19.72
2000/8/17	16.22
2000/8/31	15.09
2000/9/6	-14.83
2000/9/15	-15.06
2000/9/18	-21.3
2000/9/19	15.39
2000/9/28	31.72
2000/9/29	-21.78
2000/10/6	-27.29
2000/10/10	-15.01
2000/10/11	-22.43
2000/10/12	-34.81
2000/10/13	44.39
2000/10/17	-24.65
2000/10/19	46.63
2000/10/25	-33.23
2000/10/27	15.14
2000/10/30	19.08
2000/10/31	30.74
2000/11/8	-22.59
2000/11/10	-34.16
2000/11/14	31.69
2000/11/16	-17.49
2000/11/20	-25.1
2000/11/22	-24.99
2000/11/24	19.41
2000/11/30	-26.98
2000/12/5	51.57
2000/12/6	-25.08
2000/12/8	26.34
2000/12/14	-19.06
2000/12/15	-28.78
2000/12/19	-17.14
2000/12/20	-40.86
2000/12/22	31.09
2001/1/2	-37.01
2001/1/3	64.29
2001/1/5	-34.99
2001/1/18	18.5
2001/1/23	17.5
2001/2/2	-24
2001/2/9	-17.77
2001/2/12	15.55
2001/2/16	-25.08
2001/2/20	-22.59
2001/2/21	-23.67
2001/2/26	21.79
2001/2/28	-18
2001/3/9	-31.32
2001/3/12	-53.26
2001/3/13	17.5
2001/3/14	-30.95
2001/3/16	-23.03
2001/3/19	20.28
2001/3/20	-28.19
2001/3/21	-20.48
2001/3/23	22.25
2001/3/27	29.48
2001/3/28	-28.88
2001/4/3	-39.41
2001/4/5	48.19
2001/4/6	-23.01
2001/4/10	30.79
2001/4/12	17.61
2001/4/18	46.35
2001/4/19	15.53
2001/4/23	-18.62
2001/4/24	-14.89
2001/4/25	19.28
2001/4/27	18.53
2001/5/1	16.98
2001/5/3	-18.85
2001/5/4	18.03
2001/5/16	35.55
2001/5/21	20.87
2001/5/23	-20.33
2001/5/25	-15.28
2001/5/30	-19.85
2001/6/5	16.46
2001/6/14	-21.73
2001/6/28	15.13
2001/7/5	-15.21
2001/7/6	-28.65
2001/7/10	-17.26
2001/7/12	27.96
2001/7/23	-19.82
2001/7/24	-19.38
2001/7/25	18.84
2001/8/8	-20.87
2001/8/17	-19.69
2001/8/24	22.84
2001/8/28	-17.7
2001/8/30	-19.53
2001/9/6	-25.34
2001/9/7	-20.62
2001/9/17	-53.77
2001/9/19	-16.64
2001/9/20	-31.56
2001/9/21	-18.74
2001/9/24	37.65
2001/9/28	22.33
2001/10/3	20.95
2001/10/10	24.24
2001/10/11	16.44
2001/10/17	-20.45
2001/10/22	16.42
2001/10/25	14.89
2001/10/29	-26.31
2001/10/30	-18.51
2001/11/1	24.32
2001/11/5	15.64
2001/11/6	16.02
2001/11/13	20.76
2001/11/28	-20.98
2001/12/4	14.9
2001/12/5	25.55
2001/12/10	-18.38
2001/12/13	-17.69
2002/1/16	-18.62
2002/1/29	-32.42
2002/1/31	16.63
2002/2/4	-27.76
2002/2/8	16.05
2002/2/11	15.72
2002/2/19	-20.84
2002/2/21	-17.03
2002/2/25	19.59
2002/3/1	25.05
2002/3/4	22.06
2002/3/6	16.63
2002/3/20	-18.44
2002/3/25	-16.83
2002/4/11	-26.78
2002/4/16	25.82
2002/4/22	-17.34
2002/4/26	-15.16
2002/5/6	-20.76
2002/5/8	39.36
2002/5/9	-15.84
2002/5/10	-18.02
2002/5/13	19.57
2002/5/14	22.72
2002/6/3	-26.46
2002/6/6	-20.75
2002/6/11	-17.14
2002/6/17	28.9
2002/6/19	-17.15
2002/6/21	-17.15
2002/6/25	-16.58
2002/6/27	17.11
2002/7/1	-21.17
2002/7/2	-20.56
2002/7/5	35.04
2002/7/9	-24.15
2002/7/10	-32.36
2002/7/16	-16.99
2002/7/18	-24.48
2002/7/19	-33.81
2002/7/22	-27.9
2002/7/23	-22.15
2002/7/24	45.73
2002/7/29	46.12
2002/8/1	-26.96
2002/8/2	-20.42
2002/8/5	-29.64
2002/8/6	24.97
2002/8/7	17.2
2002/8/8	28.69
2002/8/13	-19.59
2002/8/14	35.41
2002/8/19	21.93
2002/8/23	-21.84
2002/8/28	-16.95
2002/9/3	-38.05
2002/9/4	15.38
2002/9/12	-22.54
2002/9/17	-17.58
2002/9/19	-26.14
2002/9/25	20.37
2002/9/26	15.29
2002/9/27	-27.58
2002/10/1	32.63
2002/10/2	-20
2002/10/4	-18.37
2002/10/7	-15.3
2002/10/9	-21.79
2002/10/10	27.16
2002/10/11	31.4
2002/10/15	39.83
2002/10/16	-21.25
2002/10/17	19.18
2002/10/21	15.33
2002/10/25	15.15
2002/11/1	15.2
2002/11/7	-21.11
2002/11/11	-18.55
2002/11/14	21.74
2002/11/20	17.41
2002/11/21	19.61
2002/11/26	-19.56
2002/11/27	25.56
2002/12/9	-20.23
2002/12/16	20.92
2003/1/2	29.21
2003/1/6	20.42
2003/1/9	17.64
2003/1/24	-25.94
2003/1/30	-19.75
2003/2/14	17.52
2003/2/18	16.28
2003/2/24	-15.59
2003/3/10	-21.41
2003/3/13	27.71
2003/3/17	29.52
2003/3/21	20.12
2003/3/24	-31.56
2003/3/31	-15.32
2003/4/2	22.42
2003/4/14	16.93
2003/4/22	19.36
2003/4/28	16.03
2003/5/19	-23.53
2003/5/27	18.26
2003/6/16	22.13
2003/6/19	-15.39
2003/7/7	18.72
2003/7/25	17.08
2003/8/5	-17.36
2003/9/24	-19.65
2003/10/1	22.25
2003/10/22	-15.67
2003/10/28	15.66
2003/11/24	16.8
2004/1/28	-15.57
2004/3/10	-16.69
2004/3/11	-17.11
2004/3/15	-16.08
2004/3/25	17.86
2004/4/13	-15.76
2004/4/20	-17.67
2004/4/22	15.84
2004/4/28	-15.7
2004/5/7	-15.29
2004/5/25	17.64
2004/6/7	17.92
2004/8/5	-17.93
2004/8/6	-16.73
2004/9/22	-15.74
2004/10/1	16.92
2004/10/26	16.29
2004/11/4	18.47
2004/12/1	17.55
2005/2/22	-17.43
2005/3/30	16.05
2005/4/15	-19.43
2005/4/20	-15.28
2005/4/21	22.45
2005/9/6	15.37
2005/10/5	-18.08
2005/10/19	17.62
2005/10/20	-17.96
2005/10/24	19.79
2005/10/28	19.51
2005/12/1	15.19
2006/1/3	20.51
2006/1/20	-23.55
2006/4/18	21.95
2006/5/11	-16.93
2006/5/17	-21.76
2006/5/30	-20.29
2006/6/1	15.62
2006/6/5	-22.93
2006/6/12	-14.86
2006/6/15	26.12
2006/6/29	26.87
2006/7/13	-16.32
2006/7/19	22.95
2006/7/24	20.62
2006/7/28	15.35
2006/8/15	17.37
2006/10/4	16.09
2006/11/6	15.48
2006/11/27	-18.99
2007/1/25	-16.23
2007/2/27	-50.33
2007/3/2	-16
2007/3/6	21.29
2007/3/13	-28.65
2007/3/19	15.11
2007/3/21	24.1
2007/4/16	15.48
2007/4/25	15.01
2007/5/10	-21.11
2007/6/7	-26.66
2007/6/8	16.95
2007/6/12	-16.12
2007/6/13	22.67
2007/6/20	-20.86
2007/6/22	-19.63
2007/7/2	16.08
2007/7/10	-21.73
2007/7/12	28.94
2007/7/20	-18.98
2007/7/24	-30.53
2007/7/26	-35.43
2007/7/27	-23.71
2007/7/30	14.96
2007/7/31	-18.64
2007/8/3	-39.14
2007/8/6	34.61
2007/8/8	20.78
2007/8/9	-44.4
2007/8/14	-26.38
